Date & Time,D: Sulphur Hexaflouride [ppm],Air Exchange [1/h],Dosage Given [Nl],7651 Flag,Monitor Flag,1403 Flag,Comment
2021-01-27 21:21:55,34.379,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:22:24,34.225,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:22:54,34.009,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:23:24,33.764,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:23:54,33.683,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:24:24,33.409,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:24:54,33.188,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:25:24,33.126,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:25:53,32.744,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:26:23,32.701,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:26:53,32.422,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:27:23,32.289,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:27:53,31.971,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:28:23,31.917,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:28:53,31.756,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:29:22,31.356,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:29:52,31.262,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:30:22,31.066,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:30:52,30.811,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:31:22,30.688,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:31:52,30.451,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:32:22,30.315,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:32:51,30.241,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:33:21,30.059,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:33:51,29.692,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:34:21,29.585,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:34:50,29.398,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:35:20,29.097,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:35:50,28.986,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:36:20,28.851,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:36:50,28.674,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:37:20,28.327,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:37:49,28.13,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:38:19,27.954,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:38:49,27.796,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:39:19,27.606,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:39:49,27.505,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:40:18,27.388,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:40:48,27.292,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:41:18,26.85,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:41:48,26.819,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:42:18,26.675,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:42:48,26.562,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:43:18,26.41,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:43:48,26.274,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:44:18,26.054,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:44:48,25.738,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:45:17,25.613,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:45:47,25.416,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:46:17,25.39,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:46:47,25.231,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:47:17,25.102,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:47:46,24.935,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:48:16,24.946,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:48:46,24.74,100000000000000000000000000000000,0,0,,,,
